ID	GO_ID	Expression_profile	T30
PTET.51.1.G0170319		Late induction	801,7283283
PTET.51.1.G0170320		none	195,7325365
PTET.51.1.G0170321	GO:0006468	Late repression	44,00364385
PTET.51.1.G0170322		Intermediate peak	219,8615111
PTET.51.1.G0170323		none	346,7884436
PTET.51.1.G0170324		none	154,2836823
PTET.51.1.G0170325		none	191,0540864
PTET.51.1.G0170326		none	10885,43385
PTET.51.1.G0170327		none	89,27568541
PTET.51.1.G0170328		Early repression	103,8857183
PTET.51.1.G0170329		none	833,8807411
PTET.51.1.G0170330		Early peak	139,0428529
PTET.51.1.G0170331		none	257,1131876
PTET.51.1.G0170332		none	99,02620342
PTET.51.1.G0170333		none	120,8437107
PTET.51.1.G0170334	GO:0006508	none	374,4771635
PTET.51.1.G0170335		Intermediate peak	131,4126853
PTET.51.1.G0170336	GO:0007165	Late induction	29,55323996
PTET.51.1.G0170337		none	585,0228034
PTET.51.1.G0170338		Late repression	27,53048487
PTET.51.1.G0170339		none	170,5847599
PTET.51.1.G0170340		none	50,98237938
PTET.51.1.G0170341		none	6,019785321
PTET.51.1.G0170342		Late repression	77,56429294
PTET.51.1.G0170343		Early repression	175,9430635
PTET.51.1.G0170344		none	42,51812335
PTET.51.1.G0170345		none	20,85642793
PTET.51.1.G0170346		Intermediate peak	50,44266364
PTET.51.1.G0170347		Late repression	123,9465575
PTET.51.1.G0170348		none	209,0922901
PTET.51.1.G0170349		none	1850,730531
PTET.51.1.G0170350		none	129,0491478
PTET.51.1.G0170351	GO:0032313	none	204,5459192
PTET.51.1.G0170352		Early repression	201,0697428
PTET.51.1.G0170353		none	0
PTET.51.1.G0170354		Early peak	44,54488351
PTET.51.1.G0170355		Early peak	55,02235755
PTET.51.1.G0170356	GO:0006508	none	253,7159296
PTET.51.1.G0170357		none	87,44977546
PTET.51.1.G0170358		none	1,901276579
PTET.51.1.G0170359	GO:0015671	Late repression	7,704426735
PTET.51.1.G0170360		none	61,17684121
PTET.51.1.G0170361	GO:0008299	Early repression	354,3383381
PTET.51.1.G0170362		none	29,49694807
PTET.51.1.G0170363		Late induction	27,38663587
PTET.51.1.G0170364		none	17,71745315
PTET.51.1.G0180001		none	3489,952647
PTET.51.1.G0180002		Late peak	16,84957061
PTET.51.1.G0180003		none	0
PTET.51.1.G0180004		Late induction	20,59133841
PTET.51.1.G0180005		Late induction	65,48762725
PTET.51.1.G0180006		Intermediate peak	218,7054782
PTET.51.1.G0180007		none	6,412380016
PTET.51.1.G0180008		none	12,25359744
PTET.51.1.G0180009		none	0
PTET.51.1.G0180010		Early peak	5,735517681
PTET.51.1.G0180011		Early peak	9,056080549
PTET.51.1.G0180012	GO:0017038	Intermediate peak	65,66458405
PTET.51.1.G0180013		none	126,3581864
PTET.51.1.G0180014		none	46,8205525
PTET.51.1.G0180015		none	115,9884634
PTET.51.1.G0180016		none	26,26954663
PTET.51.1.G0180017		Late induction	32,92654882
PTET.51.1.G0180018		Early peak	200,2467025
PTET.51.1.G0180019	GO:0006468	Intermediate peak	115,7309084
PTET.51.1.G0180020		Early peak	126,6402304
PTET.51.1.G0180021		none	56,27707198
PTET.51.1.G0180022	GO:0000160	none	39,61600854
PTET.51.1.G0180023		none	143,1059023
PTET.51.1.G0180024		Late repression	262,0784592
PTET.51.1.G0180025	GO:0006468	none	643,5821221
PTET.51.1.G0180026	GO:0032313	none	123,1740689
PTET.51.1.G0180027		none	24,71153894
PTET.51.1.G0180028		none	313,389084
PTET.51.1.G0180029		Late repression	79,99840292
PTET.51.1.G0180030		Early repression	161,7869844
PTET.51.1.G0180031		Intermediate peak	144,8850093
PTET.51.1.G0180032		none	163,3533517
PTET.51.1.G0180033		none	5,541987943
PTET.51.1.G0180034		none	119,2726972
PTET.51.1.G0180035		none	21,83308845
PTET.51.1.G0180036	GO:0006468	Late induction	2203,108088
PTET.51.1.G0180037	GO:0006468	none	43,87975746
PTET.51.1.G0180038		none	84,84337214
PTET.51.1.G0180039		none	33,03658184
PTET.51.1.G0180040		none	78,51609537
PTET.51.1.G0180041		Early peak	2,59395272
PTET.51.1.G0180042		Late induction	26,94815688
PTET.51.1.G0180043		none	157,2615849
PTET.51.1.G0180044		none	33,76987046
PTET.51.1.G0180045		none	128,7116174
PTET.51.1.G0180046		none	16,53482575
PTET.51.1.G0180047		Early peak	54,00849647
PTET.51.1.G0180048		none	493,6463033
PTET.51.1.G0180049		none	33,11721506
PTET.51.1.G0180050		none	33,77673286
